"";"bbva_month";"san_month";"tef_month";"tl5_month";"itx_month";"ibe_month";"mel_month";"ree_month";"col_month"
"Jan 2015";5,893418;4,79803;10,092265;8,854491;24,097481;5,036254;9,660732;9,308043;5,628765
"Feb 2015";6,963539;5,25932;10,539785;9,055449;25,895454;5,018996;10,011686;9,379493;6,144735
"Mar 2015";7,504897;5,648958;10,173362;9,563999;27,550512;4,932702;10,884331;9,330216;5,89144
"Apr 2015";7,17943;5,558152;10,464906;9,937208;26,439459;4,912156;10,571318;9,240292;5,74134
"May 2015";7,173845;5,334385;10,175591;9,474812;28,063139;5,174324;11,235286;9,433696;5,863296
"Jun 2015";7,013504;5,153385;10,072886;9,722951;27,128008;4,965575;11,230543;8,854714;5,919584
"Jul 2015";7,414145;5,169846;11,013022;9,466538;29,007568;5,305362;12,435169;10,194047;6,351123
"Aug 2015";6,648912;4,528577;9,946482;8,804832;27,672338;5,000617;12,097766;9,979716;5,882059
"Sep 2015";6,099329;3,934717;8,556029;8,074474;27,849129;4,911424;11,831567;10,385966;5,835152
"Oct 2015";6,376476;4,27216;9,504064;9,143958;31,733864;5,365649;12,511324;11,234886;6,322978
"Nov 2015";6,389489;4,329121;9,487683;8,990937;31,824537;5,476315;11,44653;11,374969;6,210403
"Dec 2015";5,481003;3,818137;8,317468;8,296145;29,610086;5,40942;11,57963;10,802021;6,022778
"Jan 2016";4,920153;3,29626;7,864822;7,387127;28,203865;5,432701;9,5261;10,925745;5,778865
"Feb 2016";4,885939;3,184955;7,512132;8,231629;26,741579;5,024912;9,340711;10,743625;5,628765
"Mar 2016";4,87509;3,28764;8,006223;8,35818;27,624556;4,93813;9,830327;11,206268;6,10721
"Apr 2016";5,107336;3,793796;7,738049;9,8356;26,467226;5,227122;10,448287;11,451544;6,285454
"May 2016";5,088555;3,682241;7,963039;10,399368;28,662205;5,136127;10,429274;11,755565;6,651323
"Jun 2016";4,322839;2,942528;7,173603;8,729745;28,237371;5,128545;9,188599;15,291492;6,121037
"Jul 2016";4,533097;3,304979;7,434771;8,916222;29,20977;5,337705;10,136294;17,678774;6,651339
"Aug 2016";4,839352;3,501846;7,656931;9,371574;29,988636;5,124891;10,651698;16,656353;6,254553
"Sep 2016";4,669306;3,438263;7,644213;9,150403;31,154573;5,256923;10,594432;16,570076;6,087188
"Oct 2016";5,79304;3,94464;7,851959;8,825152;30,213663;5,393297;10,751917;16,397516;6,048637
"Nov 2016";5,130777;3,800145;6,940351;8,399289;30,621641;4,948387;10,179244;14,495041;5,948031
"Dec 2016";5,64861;4,369321;7,795961;9,670804;30,768698;5,415013;10,575343;15,465691;6,189675
"Jan 2017";5,66367;4,58459;7,888771;9,809579;28,970772;5,181355;11,338906;14,453892;6,389949
"Feb 2017";5,576121;4,589045;8,528712;9,610091;28,766787;5,572133;11,758864;14,90421;6,486795
"Mar 2017";6,561735;5,11526;9,267648;10,481764;31,347448;5,954917;12,312448;15,739264;6,58458
"Apr 2017";6,754754;5,380462;8,975964;10,976147;33,734367;5,86344;13,009198;15,651825;6,69365
"May 2017";6,665597;5,195335;8,762943;10,72998;34,869701;6,303953;12,975793;17,466211;6,80554
"Jun 2017";6,677546;5,205222;8,151188;9,778597;32,20142;6,157411;12,493794;16,527052;7,172238
"Jul 2017";7,032334;5,275797;8,621969;9,558702;32,182259;6,073861;12,646773;16,368965;7,591538
"Aug 2017";6,821851;5,039898;8,170128;8,741949;30,577461;6,253416;11,904264;17,041969;7,885627
"Sep 2017";6,949612;5,453504;8,290077;8,574112;30,548716;5,990008;11,793369;16,061821;8,067271
